road_id,latitude,longitude,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,temperature,humidity,traffic_level,average_speed,road_condition,road_age,maintenance_score,slope,elevation,river_distance,historical_incidents,incident_count_7d,incident_count_30d,previous_disruptions,disruption
NH15_004,25.263088,90.420885,0.96,3.38,4.17,7.31,17.3,79.4,0.8793,32.7,0.4329,16.9,0.4759,1.45,175.6,4.829,1,1,4,1,0
SH01_002,28.568492,92.307225,1.12,2.68,3.72,5.59,29.7,44.9,0.3848,47.2,0.7765,10.0,0.699,17.69,1724.4,3.049,3,0,1,3,0
NH27_001,24.875148,94.77698,2.44,8.07,9.35,14.73,23.2,59.5,0.5778,25.2,0.9606,16.0,0.5543,5.34,351.0,8.145,5,0,4,1,0
NH27_004,29.391345,97.245462,0.08,0.27,0.39,0.64,21.4,89.7,0.4321,51.5,0.5935,26.4,0.234,7.62,413.9,0.373,2,0,3,2,0
NH27_003,25.240379,96.231712,2.08,3.13,4.27,7.27,23.0,61.0,0.3941,48.6,0.6862,14.9,0.5051,8.29,1915.2,3.049,1,0,4,2,0
NH13_006,26.319287,96.218012,1.03,2.63,4.79,8.26,26.1,61.5,0.6643,40.8,0.9647,24.9,0.27,35.78,880.5,1.219,3,1,6,1,0
NH15_001,27.072102,93.682305,2.05,3.19,6.27,8.27,15.8,42.0,0.2828,54.2,0.7114,25.3,0.1754,0.11,458.5,0.515,3,1,2,2,0
NH15_005,24.661571,94.045103,0.12,0.35,0.7,1.09,19.1,78.6,0.3208,42.8,0.4316,15.1,0.4571,29.11,1894.8,0.05,3,0,4,0,1
NH15_005,28.49251,96.311067,2.84,4.73,10.45,13.81,25.9,85.7,0.5287,35.4,0.4969,5.4,0.861,5.0,3392.1,4.15,3,1,1,0,0
NH13_002,25.51077,96.396117,7.66,13.95,26.02,32.58,23.4,71.8,0.5895,31.2,0.9714,11.7,0.5887,6.57,3058.1,0.05,2,2,2,3,0
NH37_002,27.020984,95.877514,1.92,5.52,8.48,13.07,28.6,91.4,0.3487,46.8,0.3696,25.5,0.4278,14.2,1212.3,2.773,0,1,5,3,0
NH13_005,27.022986,96.002999,0.62,3.11,4.17,5.36,26.5,50.2,0.3995,35.1,0.5661,9.3,0.5427,5.57,1075.2,5.253,3,2,4,0,0
NH27_003,27.314524,96.47315,54.67,83.95,138.09,250.0,17.4,96.8,0.8513,27.7,0.499,27.2,0.1,46.39,1185.7,2.251,2,0,5,0,0
NH27_001,24.305173,90.576121,0.45,0.7,1.2,2.03,5.0,74.6,0.3595,46.2,0.7784,4.9,0.78,0.91,169.5,10.642,3,3,7,0,0
SH02_001,24.927403,91.953323,3.54,11.46,15.22,21.82,23.2,69.2,0.3335,42.9,0.8519,17.8,0.5991,0.84,3356.2,2.138,1,2,4,0,0
NH27_003,24.886557,97.216074,1.82,3.19,5.94,10.39,15.7,40.5,0.0489,67.4,0.5133,22.9,0.2683,2.32,440.3,7.851,3,1,1,2,0
NH15_001,25.661282,93.894776,13.49,61.23,83.76,123.62,25.0,79.4,0.6824,36.8,0.8028,25.0,0.3195,4.83,3296.6,6.71,2,2,2,2,0
SH03_001,24.797028,91.058772,2.02,6.66,9.77,12.7,31.5,87.9,0.3069,32.3,0.8222,6.9,0.8988,6.08,2679.9,0.652,1,1,8,1,0
NH15_003,29.070567,93.573528,4.74,8.38,13.58,17.14,15.8,74.4,0.6107,39.2,0.9238,23.2,0.321,11.28,1291.1,0.932,3,3,4,1,0
NH13_010,26.821249,94.672538,2.01,5.79,9.91,15.0,25.9,65.2,0.2406,48.7,0.4784,11.6,0.686,24.52,453.0,0.169,2,2,6,4,0
SH02_001,27.429663,96.077309,0.33,0.56,1.21,1.68,27.2,84.1,0.3788,44.0,0.1836,2.0,1.0,13.49,2778.9,0.607,4,0,3,4,1
NH15_002,25.966185,95.953761,0.52,1.31,1.49,2.19,24.1,58.0,0.1938,57.1,0.9275,16.3,0.5935,6.19,2969.3,0.731,3,2,4,3,0
NH13_003,25.519354,90.079159,1.31,2.8,3.14,5.02,24.0,84.3,0.6577,33.7,0.829,10.7,0.6757,12.28,2790.5,0.937,5,0,5,1,0
NH15_005,26.767474,93.192142,3.28,14.66,17.13,28.23,9.5,89.9,0.6595,32.0,0.3172,24.2,0.4661,5.53,2526.5,0.504,5,2,3,3,1
NH27_004,25.618776,89.858382,2.24,3.65,7.01,10.24,22.4,67.9,0.4536,36.1,0.8295,14.0,0.6824,7.88,2969.8,2.103,4,3,4,2,1
NH13_006,25.890053,96.538802,1.25,2.37,3.34,5.53,21.9,44.5,0.3014,48.4,0.6529,19.2,0.4533,6.86,3183.4,0.216,3,0,2,3,0
NH15_004,26.49013,91.039077,7.04,25.88,36.56,50.45,28.3,65.1,0.4766,38.6,0.7534,21.8,0.1735,7.52,174.1,0.05,4,0,7,4,1
NH13_004,26.781535,94.511535,0.05,0.15,0.25,0.46,27.8,76.2,0.2415,53.1,0.8866,28.8,0.1996,11.26,2899.2,2.199,3,1,6,0,0
NH27_001,29.413727,94.093761,0.32,0.71,0.86,1.2,18.9,48.6,0.5932,38.2,0.3925,26.8,0.1473,10.03,3150.6,1.573,1,1,2,3,0
NH15_005,25.228274,94.516577,0.04,0.13,0.15,0.22,10.6,68.8,0.286,59.8,0.7746,25.3,0.2816,3.86,3169.1,1.312,4,0,3,0,0
NH13_010,26.683869,94.038308,4.5,13.84,21.04,40.11,12.4,73.4,0.5065,35.8,0.5996,12.4,0.6838,1.43,2340.1,7.683,2,0,4,1,0
NH13_007,24.822315,95.210033,1.39,2.32,4.85,6.45,30.5,88.8,0.2932,44.7,0.6731,12.9,0.6005,8.4,185.5,4.112,3,2,4,0,0
NH37_002,25.924996,94.521047,5.01,11.7,19.01,28.58,21.5,63.9,0.522,41.9,0.7273,19.0,0.2262,1.32,2965.8,0.509,2,0,4,1,0
NH27_001,27.945209,90.395312,0.74,2.76,4.57,6.34,13.3,38.2,0.4419,38.4,0.5359,6.0,0.6799,15.7,2058.1,1.561,3,0,5,4,0
SH02_002,24.959542,92.524113,4.87,13.38,16.63,30.95,14.1,78.2,0.7508,25.3,0.4319,6.9,0.8982,5.86,2231.4,1.112,4,1,4,2,0
NH15_004,27.197432,93.908769,1.02,3.13,3.38,6.19,23.4,60.3,0.301,42.1,0.594,7.9,0.4799,7.7,1698.3,1.419,4,0,5,3,0
NH13_005,26.291856,92.20402,2.82,5.79,10.02,13.12,22.7,57.1,0.7968,36.3,0.2661,4.4,0.8845,2.96,1040.3,12.79,4,1,3,0,0
NH27_005,24.283687,95.554548,1.93,3.8,6.84,10.69,31.9,63.9,0.3473,43.7,0.3826,28.1,0.1346,7.27,728.2,1.135,3,1,8,0,0
NH37_004,29.131914,92.147812,1.44,4.49,6.98,11.86,21.5,87.5,0.5176,39.2,0.3924,17.8,0.4727,8.71,181.9,2.399,4,0,8,1,0
NH27_002,26.274817,96.080868,17.75,33.09,51.24,78.15,24.3,66.7,0.2207,46.5,0.603,4.7,0.8952,7.57,2632.9,0.271,5,1,4,2,1
NH13_003,28.311596,90.82985,0.19,0.35,0.46,0.76,21.7,59.7,0.4441,45.6,0.5577,28.5,0.1994,4.94,1416.7,5.944,5,0,4,1,0
NH13_010,26.289724,95.624323,1.35,3.87,5.32,6.71,26.9,81.2,0.1507,55.9,0.3843,26.1,0.3105,22.41,2962.5,6.699,1,0,1,3,0
NH27_004,29.155482,91.112684,1.1,3.21,5.45,9.75,32.6,61.0,0.5196,41.4,0.7883,24.9,0.4066,17.84,2970.1,2.038,1,3,7,1,0
NH27_005,25.597587,93.765718,0.95,4.28,5.21,7.91,27.7,76.8,0.7274,28.1,0.2003,8.3,0.801,10.27,2355.9,9.226,2,0,5,1,0
NH15_004,26.267269,92.168038,1.22,1.66,2.54,4.23,33.8,89.9,0.2791,49.9,0.2666,18.9,0.2594,0.0,2663.1,7.437,3,0,6,0,0
NH27_005,28.173753,94.607475,0.48,1.81,1.92,3.5,25.2,92.4,0.2513,50.5,0.4934,5.6,0.772,15.89,569.1,2.129,6,2,7,1,0
SH01_001,25.89017,91.338101,10.16,23.75,44.33,62.93,12.5,82.5,0.2763,49.2,0.6103,12.7,0.8189,3.86,1343.0,0.431,8,1,2,1,0
NH15_002,26.003964,95.824655,1.59,2.78,3.62,6.69,17.1,72.6,0.6302,39.6,0.2394,20.8,0.3311,13.55,2949.9,1.151,2,1,3,0,0
SH01_002,29.471527,94.116596,57.96,97.13,130.64,224.33,26.9,87.1,0.5013,39.0,0.4321,2.7,1.0,9.67,1320.7,3.209,8,2,5,0,1
NH13_009,27.05588,97.071003,4.37,8.13,10.0,15.48,20.6,72.7,0.3142,50.3,0.7371,26.0,0.2283,1.26,2152.3,4.328,7,0,4,2,1
NH13_008,27.791592,95.180632,0.88,1.72,3.09,4.93,22.0,69.9,0.624,31.3,0.5714,29.7,0.1,3.11,3277.4,0.614,3,2,6,2,0
NH27_001,27.539042,94.376946,4.78,6.47,12.39,16.02,17.1,50.5,0.4922,42.9,0.3519,8.1,0.8182,5.14,651.5,6.136,1,0,1,0,0
NH37_005,28.553583,96.084522,1.04,3.95,5.98,8.61,30.7,84.1,0.6359,30.1,0.4028,14.5,0.7449,18.51,2531.0,6.072,3,1,2,1,0
NH13_005,28.740038,91.391556,12.83,24.05,25.19,48.37,31.2,79.3,0.2085,69.9,0.2531,27.4,0.3098,7.2,2796.9,3.465,5,1,5,3,1
NH27_005,27.097909,94.572117,0.22,0.47,0.78,1.44,20.6,72.8,0.565,41.2,0.6404,21.3,0.374,60.0,1754.8,6.46,3,0,5,1,0
NH13_006,25.620058,92.70611,0.17,0.19,0.4,0.59,20.7,65.1,0.5688,32.4,0.5064,20.4,0.3309,16.37,2766.9,0.05,4,1,7,1,1
NH27_005,24.125401,95.427191,3.35,6.31,6.95,12.25,29.7,72.7,0.22,51.3,0.5513,28.4,0.2254,19.25,2864.6,1.608,1,0,2,1,0
NH13_001,27.379218,89.888414,6.01,9.76,13.3,23.81,28.3,86.1,0.2995,47.7,0.7857,25.8,0.2166,22.43,1682.9,2.73,2,1,4,0,0
NH27_004,28.540079,92.993383,2.43,3.86,8.78,11.03,12.2,55.6,0.3101,48.3,0.6993,29.8,0.1,20.15,203.3,1.291,3,2,5,0,1
NH27_004,26.477969,94.718105,2.71,7.18,13.5,18.94,26.1,73.2,0.4806,36.8,0.6407,25.2,0.3161,4.97,1379.9,3.364,1,0,8,2,0
NH27_004,24.905884,93.246923,2.97,7.39,9.11,15.42,25.0,98.1,0.305,37.4,0.3734,26.1,0.2816,28.5,2927.4,3.73,6,1,5,2,0
NH37_005,25.584451,91.532381,0.1,0.54,0.47,0.93,23.1,76.4,0.0474,66.0,0.4628,9.4,0.7426,10.94,323.3,1.135,4,2,2,1,1
NH15_005,26.804939,93.275489,2.65,5.69,8.09,10.95,16.7,48.5,0.0611,57.3,0.4106,27.6,0.1,3.07,1636.8,0.606,6,1,5,3,0
NH27_002,28.601747,96.243033,5.75,25.17,31.43,46.69,16.9,59.7,0.7011,36.0,0.306,29.6,0.1988,23.33,1079.4,0.455,2,0,2,3,0
NH13_009,24.944642,91.29266,1.43,4.53,5.58,9.4,5.0,82.0,0.4843,34.7,0.6382,9.4,0.7445,4.92,521.3,4.657,3,0,4,3,0
NH27_004,27.366824,92.527226,0.18,0.49,0.78,1.18,18.1,53.2,0.1903,56.4,0.5657,3.5,0.8846,8.79,2521.3,3.639,4,1,5,1,0
NH37_002,28.143527,97.325584,1.19,2.73,3.56,4.63,10.2,84.5,0.6762,32.8,0.3402,23.1,0.2026,9.72,2248.1,0.05,2,1,4,2,0
NH15_004,29.148261,96.728692,2.9,5.23,8.36,16.11,18.8,47.4,0.4451,41.8,0.8125,12.1,0.5657,39.0,575.6,2.402,2,3,3,0,0
NH37_001,24.64187,89.961556,18.89,49.52,65.68,91.28,24.4,80.2,0.3386,40.1,0.6104,2.7,0.9442,18.57,558.5,3.459,3,1,4,4,0
NH37_003,29.095154,93.783556,0.07,0.18,0.36,0.48,15.0,46.0,0.6025,35.8,0.3541,18.6,0.3739,40.05,161.6,3.649,2,0,3,0,0
NH13_002,27.308071,90.20368,2.04,5.91,8.04,12.25,30.0,73.4,0.2044,56.1,0.5312,7.8,0.7084,26.02,3384.1,1.108,0,1,5,0,0
NH13_005,28.216859,96.814068,0.41,1.19,1.58,2.0,33.7,82.8,0.1469,53.9,0.7968,3.6,0.898,0.74,1643.1,1.436,2,1,2,2,0
NH13_008,24.295761,93.099896,2.09,8.31,8.57,15.04,23.4,62.6,0.5867,45.9,0.2727,18.3,0.4479,23.81,2161.0,5.573,1,0,6,2,0
NH13_004,26.783815,92.921965,4.0,9.34,12.05,16.83,25.7,82.8,0.4257,45.6,0.3858,17.0,0.6036,39.71,2633.6,1.712,2,1,3,3,0
NH15_004,27.424463,91.801684,1.01,2.92,3.35,5.33,12.3,47.7,0.42,52.3,0.496,28.6,0.2594,23.12,938.6,6.387,2,0,2,2,0
NH27_001,25.687586,94.079906,5.31,7.8,10.98,17.89,23.1,84.9,0.552,34.3,0.6707,9.2,0.7697,8.62,2781.6,1.484,5,2,6,1,1
NH37_005,26.374076,90.81649,5.44,15.23,25.18,36.45,13.6,71.6,0.3781,39.1,0.7727,25.2,0.2194,4.48,3219.2,1.531,3,2,2,2,0
NH15_005,27.04864,95.851954,1.05,2.67,4.01,5.87,11.7,63.8,0.7406,27.8,0.8041,24.8,0.1623,19.4,2438.4,0.243,3,3,1,0,0
SH01_001,27.039014,93.48232,0.32,0.44,0.69,1.14,14.4,57.6,0.1267,51.1,0.4811,23.6,0.3387,10.12,2440.1,15.985,3,5,2,1,0
NH37_002,24.230238,94.061764,15.07,24.11,33.31,54.37,21.1,65.9,0.3671,42.9,0.8616,28.2,0.2713,14.84,2428.3,1.838,6,0,6,2,0
NH13_003,26.41715,96.174197,4.64,7.97,15.18,23.57,21.8,81.6,0.2557,51.0,0.6534,25.8,0.3202,10.36,2754.5,2.196,2,0,2,4,0
NH27_003,25.176,91.125646,2.03,9.24,12.98,16.27,21.6,50.1,0.3908,46.2,0.4767,21.9,0.3471,12.74,401.8,1.639,2,3,1,1,1
NH37_003,29.041823,91.04891,0.51,1.46,2.08,2.81,15.0,84.6,0.3233,44.1,0.779,6.4,0.9249,0.29,1679.7,2.625,5,0,6,1,0
NH37_005,29.37119,92.940173,6.38,9.35,17.91,29.36,22.6,80.3,0.3726,46.2,0.6029,24.4,0.3055,32.8,477.4,8.251,5,0,5,0,1
NH37_002,25.648058,95.753187,19.45,64.21,78.52,128.95,17.8,76.5,0.5185,34.1,0.6052,28.4,0.1874,23.02,1349.3,3.724,4,2,6,0,1
NH37_002,24.96352,90.150801,0.86,3.29,4.79,6.23,22.8,65.7,0.0828,55.7,0.7239,5.1,0.6882,30.43,2823.3,5.696,7,1,3,0,0
NH13_003,25.207273,95.822811,1.74,4.71,6.19,8.43,20.6,47.4,0.3032,45.0,0.5854,4.9,0.9514,7.43,458.3,7.784,1,1,6,1,0
NH37_002,26.627637,93.555826,0.22,0.66,1.16,1.66,11.2,37.2,0.4305,39.1,0.338,18.6,0.4878,19.53,753.3,0.997,1,0,5,0,0
NH27_004,28.809781,94.025579,0.74,1.32,1.93,2.7,17.9,64.9,0.3074,51.7,0.9502,3.2,0.9574,3.11,702.4,1.593,4,0,5,2,0
NH13_010,26.750199,94.045772,0.19,0.63,0.85,1.64,25.3,85.4,0.7021,30.0,0.8628,23.6,0.4763,23.35,3223.4,1.561,2,0,8,0,0
NH37_004,24.304656,90.132489,2.64,4.92,4.68,8.87,27.0,75.6,0.7763,30.7,0.5078,3.4,0.8129,1.39,1761.8,4.307,5,0,5,2,0
NH13_001,24.219371,91.623235,0.95,2.58,2.73,4.59,14.6,63.6,0.3109,43.8,0.567,30.0,0.1582,20.91,914.9,0.667,0,2,5,1,1
NH15_001,25.25065,95.51579,3.69,4.02,7.99,12.45,17.4,90.9,0.0976,56.5,0.4378,7.3,0.739,5.1,110.8,4.45,3,0,3,3,1
NH15_004,28.635242,92.874465,0.53,0.82,1.51,2.12,19.3,59.3,0.6353,36.9,0.1778,22.8,0.3512,11.41,1061.3,3.44,1,1,7,2,0
SH03_001,27.418143,94.015981,0.76,1.93,4.29,5.84,29.0,60.9,0.7471,35.4,0.6769,7.2,0.8535,1.98,2476.9,2.026,2,0,1,2,0
NH13_007,27.096268,96.975488,0.28,0.82,1.49,1.94,24.8,48.7,0.3287,44.5,0.8734,3.3,1.0,6.03,1634.9,5.422,2,1,4,3,0
NH13_009,25.754333,90.056293,1.17,2.9,5.58,9.61,14.3,57.0,0.2257,45.3,0.608,1.3,0.8559,7.21,1258.7,0.344,3,0,3,1,0
NH15_003,29.11184,93.162539,0.18,0.4,0.54,0.75,25.0,72.4,0.4296,42.5,0.3006,24.0,0.3307,9.55,1379.2,2.329,4,3,3,1,0
SH03_001,25.82148,92.481811,1.22,3.92,7.29,9.14,29.6,69.9,0.3158,39.7,0.9667,26.6,0.195,1.27,2910.8,3.438,5,1,5,2,0
SH01_001,28.592194,90.519661,1.21,2.3,2.81,5.0,23.3,70.3,0.2973,51.6,0.8586,3.6,0.9294,0.13,2705.4,0.471,2,0,1,1,0
NH13_002,28.927469,97.021116,2.59,4.98,4.96,9.52,17.3,67.1,0.3242,46.2,0.37,5.1,0.8683,0.76,2210.7,1.443,2,2,3,2,0
NH13_008,26.658343,97.103239,0.13,0.38,0.56,0.73,27.1,77.0,0.3654,38.8,0.6193,17.9,0.4486,25.74,984.5,9.276,7,0,1,3,0
NH27_005,28.918591,92.098459,4.29,7.29,9.99,18.48,23.1,82.9,0.4947,37.6,0.8732,3.4,0.9392,14.3,118.4,1.117,2,1,3,2,0
NH13_002,25.522418,96.989718,1.36,2.6,3.48,4.86,20.5,82.7,0.5233,43.3,0.5337,28.7,0.1108,2.04,1901.3,0.498,5,0,6,2,0
SH01_001,27.621384,89.970837,2.51,4.93,6.17,10.01,27.4,70.5,0.4412,37.1,0.857,11.3,0.7379,10.8,1365.0,0.102,3,1,4,1,0
NH13_009,24.483801,97.252899,0.07,0.2,0.33,0.54,22.0,93.8,0.5132,42.6,0.7424,5.2,0.9317,16.9,3372.4,2.512,4,1,8,0,0
SH02_001,26.606638,96.136677,0.21,0.4,1.01,1.3,22.5,90.6,0.1463,62.2,0.7802,15.6,0.5804,11.39,1103.3,2.101,3,1,3,2,0
NH13_009,25.195325,91.350343,0.89,2.25,2.59,4.28,27.2,92.7,0.5425,43.6,0.7244,14.4,0.7178,29.53,1369.9,8.119,3,3,4,2,0
NH15_004,24.345198,94.316513,7.75,17.73,31.54,50.69,19.0,46.4,0.3969,46.1,0.5118,21.6,0.5934,27.42,2047.1,0.96,2,1,5,1,0
NH37_005,24.02049,95.846905,3.11,5.16,7.8,15.46,15.1,54.5,0.3607,45.4,0.8082,10.4,0.7583,3.97,2248.5,0.354,3,2,4,3,0
NH13_004,25.786137,92.158602,2.58,3.78,4.92,8.86,24.0,80.1,0.4248,39.0,0.8189,17.8,0.4792,1.16,1886.8,1.372,2,1,3,2,0
NH37_002,27.242418,92.423889,0.39,1.17,1.23,2.03,31.3,81.1,0.3717,49.8,0.511,25.0,0.1967,4.58,1511.2,0.42,4,2,5,1,0
NH37_001,26.503767,94.54309,0.24,0.81,1.1,1.57,8.4,52.5,0.2847,51.8,0.4729,19.3,0.5001,12.38,1699.1,2.536,3,2,5,2,0
NH27_004,25.659731,90.832624,1.41,5.87,5.65,10.88,26.4,74.4,0.6045,44.2,0.173,6.4,0.8735,10.45,441.6,3.606,1,2,5,2,0
SH03_001,29.4516,90.610222,5.52,7.51,11.92,19.71,22.2,79.3,0.6296,36.4,0.2756,2.9,0.8736,2.76,1353.3,2.317,3,2,2,0,0
